iter	Passed	Remaining
181	61	107
182	61	106
183	62	106
184	62	106
185	62	106
186	63	105
187	63	105
188	63	105
189	64	104
190	64	104
191	64	104
192	65	103
193	65	103
194	65	103
195	66	102
196	66	102
197	67	102
198	67	101
199	67	101
200	68	101
201	68	100
202	68	100
203	69	100
204	69	100
205	71	101
206	71	101
207	79	110
208	79	110
209	79	110
210	80	109
211	80	109
212	80	108
213	81	108
214	81	108
215	81	107
216	82	107
217	82	106
218	82	106
219	84	107
220	84	106
221	85	106
222	85	106
223	85	105
224	86	105
225	86	104
226	86	104
227	87	104
228	87	103
229	88	103
230	88	102
231	88	102
232	89	102
233	89	101
234	89	101
235	90	100
236	90	100
237	90	99
238	91	99
239	91	99
240	91	98
241	92	98
242	92	97
243	92	97
244	93	97
245	94	97
246	94	97
247	95	96
248	95	96
249	95	95
250	96	95
251	96	95
252	97	94
253	97	94
254	97	93
255	98	93
256	98	93
257	98	92
258	99	92
259	99	91
260	99	91
261	100	90
262	100	90
263	100	90
264	101	89
265	101	89
266	101	88
267	101	88
268	102	87
269	102	87
270	102	86
271	103	86
272	103	86
273	104	85
274	104	85
275	104	84
276	105	84
277	105	84
278	105	83
279	106	83
280	107	83
281	107	83
282	108	82
283	108	82
284	118	89
285	119	89
286	119	88
287	119	88
288	120	87
289	120	87
290	121	87
291	121	86
292	121	86
293	122	85
294	122	85
295	123	84
296	123	84
297	123	84
298	124	83
299	124	83
300	125	82
301	125	82
302	126	82
303	126	81
304	127	81
305	127	80
306	127	80
307	127	79
308	128	79
309	129	79
310	130	79
311	130	78
312	130	78
313	131	77
314	131	77
315	132	76
316	132	76
317	132	76
318	133	75
319	133	75
320	133	74
321	134	74
322	134	73
323	134	73
324	135	72
325	135	72
326	135	71
327	139	72
328	139	72
329	139	71
330	139	71
331	140	70
332	140	70
333	141	70
334	142	70
335	142	69
336	142	69
337	143	68
338	143	68
339	143	67
340	144	67
341	144	66
342	144	66
343	145	65
344	145	65
345	145	64
346	146	64
347	146	64
348	147	63
349	147	63
350	147	62
351	148	62
352	148	61
353	148	61
354	148	60
355	149	60
356	149	59
357	150	59
358	150	59
359	151	58
360	151	58
361	152	58
362	153	57
363	153	57
364	153	56
365	153	56
366	154	55
367	154	55
368	154	55
369	155	54
370	156	54
371	162	55
372	162	55
373	162	54
374	163	54
375	163	53
376	164	53
377	164	53
378	164	52
379	165	52
380	165	51
381	166	51
382	166	50
383	167	50
384	167	50
385	168	49
386	168	49
387	168	48
388	169	48
389	169	47
390	170	47
391	170	46
392	170	46
393	171	46
394	171	45
395	172	45
396	172	44
397	173	44
398	173	43
399	173	43
400	174	42
401	174	42
402	174	42
403	175	41
404	175	41
405	176	40
406	176	40
407	176	39
408	177	39
409	177	38
410	177	38
411	178	38
412	178	37
413	178	37
414	179	36
415	179	36
416	180	35
417	180	35
418	180	34
419	181	34
420	181	34
421	181	33
422	182	33
423	182	32
424	183	32
425	183	31
426	183	31
427	184	30
428	184	30
429	184	30
430	185	29
431	185	29
432	185	28
433	186	28
434	186	27
435	186	27
436	187	27
437	187	26
438	188	26
439	188	25
440	188	25
441	189	24
442	189	24
443	190	23
444	190	23
445	190	23
446	191	22
447	191	22
448	191	21
449	192	21
450	192	20
451	192	20
452	193	20
453	193	19
454	193	19
455	194	18
456	194	18
457	195	17
458	195	17
459	195	17
460	196	16
461	196	16
462	196	15
463	197	15
464	197	14
465	198	14
466	198	14
467	198	13
468	199	13
469	199	12
470	199	12
471	199	11
472	200	11
473	200	11
474	200	10
475	201	10
476	201	9
477	201	9
478	202	8
479	202	8
480	203	8
481	203	7
482	204	7
483	204	6
484	204	6
485	205	5
486	205	5
487	206	5
488	206	4
489	206	4
490	206	3
491	207	3
492	207	2
493	207	2
494	208	2
495	208	1
496	208	1
497	209	0
498	209	0
499	210	0
