iter	RMSE
343	0.8158064747
344	0.8149995103
345	0.8145841869
346	0.8141122911
347	0.8136590815
348	0.8132781738
349	0.8126052336
350	0.8122678357
351	0.8118080057
352	0.8112581946
353	0.8105570316
354	0.8101043915
355	0.8098899859
356	0.8092007308
357	0.8083113608
358	0.8078707802
359	0.8072008784
360	0.8068736658
361	0.806504941
362	0.8061207777
363	0.8055037869
364	0.8051173982
365	0.8044920172
366	0.8042619417
367	0.8036938281
368	0.8031435469
369	0.8027342578
370	0.8022925121
371	0.8017302934
372	0.8015098793
373	0.8014210968
374	0.8010780583
375	0.8004865608
376	0.8001394652
377	0.7998064434
378	0.7995378209
379	0.7992589407
380	0.7990457844
381	0.7985027356
382	0.7978225678
383	0.7972031998
384	0.7966542846
385	0.7962717178
386	0.7958368414
387	0.795287474
388	0.7947542358
389	0.7941542865
390	0.7934420484
391	0.793159573
392	0.7924255915
393	0.7920891201
394	0.7915344026
395	0.7909645532
396	0.7904486174
397	0.7901459335
398	0.7899325733
399	0.789727241
400	0.7894078419
401	0.7888405671
402	0.7879439191
403	0.7877074463
404	0.7873922399
405	0.7868169743
406	0.786524124
407	0.7863158149
408	0.7858085327
409	0.7853922483
410	0.7849297905
411	0.7843389334
412	0.7839355949
413	0.7833668408
414	0.7827406334
415	0.7821736047
416	0.7820570807
417	0.7814764813
418	0.7810192933
419	0.7807100439
420	0.7804559523
421	0.7801020783
422	0.780004304
423	0.7791260498
424	0.7786199324
425	0.7783980602
426	0.7779072052
427	0.7772523209
428	0.7761700447
429	0.7756679118
430	0.7756036009
431	0.7751344285
432	0.7746916543
433	0.7743425769
434	0.773600346
435	0.77337901
436	0.7731557835
437	0.7726500204
438	0.7724262365
439	0.771788473
440	0.7712134411
441	0.771012028
442	0.7706984932
443	0.7703907893
444	0.7698663809
445	0.769331391
446	0.7688451082
447	0.7683459224
448	0.7675102933
449	0.7670762042
450	0.7666896613
451	0.7660115952
452	0.76549844
453	0.7647662754
454	0.7644070618
455	0.7640063891
456	0.7636471799
457	0.7632120702
458	0.7629106512
459	0.7626969308
460	0.7623478271
461	0.761962669
462	0.7615344051
463	0.761196153
464	0.7606975965
465	0.7604956028
466	0.7603470998
467	0.7596078421
468	0.7592050081
469	0.7587877166
470	0.7583169318
471	0.7582006612
472	0.7578981521
473	0.7575929755
474	0.7573203016
475	0.7572633817
476	0.7562643711
477	0.7558410574
478	0.7555397199
479	0.7550915008
480	0.7548853448
481	0.7545637239
482	0.7543845432
483	0.75402991
484	0.7537325599
485	0.7532553056
486	0.7529842982
487	0.7527652934
488	0.7520767771
489	0.751755435
490	0.7513862768
491	0.7509678238
492	0.7506190931
493	0.7503171327
494	0.7501630372
495	0.7499159828
496	0.7483440092
497	0.747838083
498	0.7476831713
499	0.7473136693
