iter	RMSE
0	1.423290061
1	1.385496568
2	1.350470099
3	1.325950436
4	1.300007998
5	1.278362875
6	1.255794321
7	1.241285517
8	1.226078409
9	1.210691197
10	1.197304131
11	1.186879199
12	1.177322692
13	1.166860966
14	1.15845402
15	1.150844096
16	1.144906925
17	1.138949201
18	1.133254596
19	1.126722143
20	1.123329008
21	1.119081646
22	1.114028437
23	1.109009753
24	1.105356057
25	1.101315534
26	1.097968605
27	1.094846328
28	1.091632302
29	1.088458012
30	1.084732017
31	1.083343678
32	1.080049338
33	1.077280001
34	1.075864036
35	1.073828164
36	1.071416654
37	1.067799024
38	1.065744291
39	1.064119688
40	1.061895247
41	1.059719759
42	1.05743305
43	1.055302361
44	1.053242765
45	1.05116976
46	1.049592528
47	1.047072347
48	1.04591894
49	1.044557062
50	1.042208534
51	1.040199197
52	1.038416023
53	1.036650461
54	1.035359731
55	1.033327531
56	1.032377111
57	1.030893602
58	1.029847749
59	1.028634551
60	1.027152852
61	1.025758208
62	1.024576719
63	1.023601958
64	1.022379716
65	1.020462385
66	1.019049673
67	1.01747726
68	1.016259263
69	1.015594275
70	1.013310988
71	1.012521392
72	1.011201211
73	1.009745267
74	1.008170074
75	1.006978523
76	1.005856203
77	1.004605382
78	1.003958284
79	1.002930484
80	1.001865005
81	1.001035982
82	0.9999034838
83	0.9990125693
84	0.997979899
85	0.996962827
86	0.9964981527
87	0.9945799771
88	0.9934714059
89	0.9920886932
90	0.9903533385
91	0.9891116179
92	0.9885382088
93	0.9875204323
94	0.9868558942
95	0.9863703072
96	0.9853848887
97	0.9846996752
98	0.9830559139
99	0.9816117117
100	0.9804629863
101	0.979144871
102	0.978148749
103	0.9770087659
104	0.9762182787
105	0.9750538596
106	0.9745867382
107	0.9736627195
108	0.9728017874
109	0.9717723379
110	0.9704471585
111	0.9695243896
112	0.9686644434
113	0.9682461201
114	0.967101607
115	0.9662974597
116	0.9650480085
117	0.9646737982
118	0.9638930353
119	0.9632886342
120	0.9625986745
121	0.9620801685
122	0.9617894564
123	0.9603447157
124	0.9595028354
125	0.9580976324
126	0.9572219495
127	0.9570572207
128	0.9564826073
129	0.9556250528
130	0.9553390336
131	0.9540591416
132	0.9529265156
133	0.9523219997
134	0.9517784659
135	0.9504338331
136	0.9496895738
137	0.9490413963
138	0.94798229
139	0.9478133524
140	0.9460135244
141	0.9451235347
142	0.9439452849
143	0.9431493128
144	0.9419331277
145	0.9407932842
146	0.9396149184
147	0.9391892415
148	0.9385333967
149	0.9382570888
150	0.9369241133
151	0.9354483167
152	0.9350658025
153	0.9340829837
154	0.9328468068
155	0.9321262311
156	0.9310598669
157	0.9300069147
158	0.9290133699
159	0.9278316305
160	0.92678023
161	0.9262858034
162	0.9254735191
163	0.9240476788
164	0.9230755091
165	0.9224176422
166	0.9216173329
167	0.9208030268
168	0.9198835556
169	0.919328487
170	0.9186730799
171	0.9181198848
172	0.9178613165
173	0.916970843
174	0.9161961861
175	0.9149884119
176	0.9148882294
177	0.9142513632
178	0.9131124078
179	0.9126053551
180	0.9116833118
181	0.9107314754
182	0.9102323766
183	0.9093913281
184	0.908673026
185	0.9082950985
186	0.9081781279
187	0.9072898264
188	0.9066780623
189	0.9058975532
190	0.9050753405
191	0.9039712375
192	0.9031679624
193	0.9025818323
194	0.9019499114
195	0.9016263265
196	0.9007901832
197	0.9000929862
198	0.8991081262
199	0.8985384569
200	0.8976104706
201	0.8973219116
202	0.8969182432
203	0.8960974202
204	0.8959589311
205	0.8951638514
206	0.8946322506
207	0.8942899817
208	0.8934926511
209	0.8931286514
210	0.8924400681
211	0.8918048183
212	0.8910703009
213	0.890364208
214	0.8899082633
215	0.8891236808
216	0.8882191951
217	0.8873128045
218	0.8866513662
219	0.885940786
220	0.8851064049
221	0.8845137935
222	0.883903773
223	0.8832709548
224	0.8827310824
225	0.8823018128
226	0.8813494017
227	0.880812118
228	0.8800347463
229	0.8790797594
230	0.878566221
231	0.8779168809
232	0.8775714531
233	0.8771244675
234	0.8766683303
235	0.8763845347
236	0.875803605
237	0.875182619
238	0.8743412216
239	0.8734716634
240	0.8732728118
241	0.8728352571
242	0.8725719308
243	0.8718946304
244	0.8712868803
245	0.8704759378
246	0.8700006365
247	0.8695205999
248	0.8686367434
249	0.8676578742
250	0.8671034819
251	0.8667293493
252	0.8660289423
253	0.865537144
254	0.864552088
255	0.8642146514
256	0.8638611489
257	0.8627967669
258	0.8626340073
259	0.8620330932
260	0.8615319105
261	0.8609102875
262	0.8604815252
263	0.8600849961
264	0.859612901
265	0.8588659066
266	0.858066329
267	0.8575589039
268	0.8568558238
269	0.8564467996
270	0.8562011116
271	0.8557891588
272	0.8552341702
273	0.8548227889
274	0.854242186
275	0.853813458
276	0.852990539
277	0.8526556025
278	0.8516144128
279	0.8512889069
280	0.8507913241
281	0.8502024522
282	0.8497216102
283	0.8490498671
284	0.8480932913
285	0.8476438931
286	0.8471567316
287	0.8465331377
288	0.8460390563
289	0.8453573252
290	0.8450081429
291	0.8445959134
292	0.8441718924
293	0.8437584551
294	0.8431290577
295	0.8423632907
296	0.8420072912
297	0.8417294441
298	0.8411272748
299	0.8404438022
300	0.8401508563
301	0.8398359717
302	0.8392789273
303	0.8387151356
304	0.8383702932
305	0.8379537069
306	0.8374455519
307	0.8370244399
308	0.8361837483
309	0.835198351
310	0.8347665279
311	0.83448688
312	0.8337063428
313	0.8330878219
314	0.8324648446
315	0.831526302
316	0.8310596348
317	0.830570443
318	0.8302586723
319	0.829446256
320	0.8288292044
321	0.8283289261
322	0.8278044958
323	0.827258867
324	0.8268778132
325	0.8263950509
326	0.8260853168
327	0.8257470708
328	0.8251458749
329	0.8248052783
330	0.8240332964
331	0.8236351941
332	0.8233121762
333	0.8228848131
334	0.8219959848
335	0.8208879305
336	0.8200721058
337	0.8193763492
338	0.8186989999
339	0.8180683266
340	0.8174010408
341	0.8167274306
342	0.8164276105
